adm2_name,group,period,H38_bar,H46_bar,S_share,RWI_bar,Haz,Mag,PovScore,HVI,Rank,heat_exposed,screening_class,priority_hazard_gated,rank_hazard_gated,priority_equal_weight_gated,rank_equal_weight_gated
Ainabkoi,u5,2025,0.0,0.0,0.0,-0.137435294117647,0.0,13.75724422819352,69.69716232385589,14.581747617036438,170,False,No severe heat exposure (not ranked for heat priority),0.0,155,0.0,155
Aldai,u5,2025,0.0,0.0,0.0,-0.1603285714285714,0.0,17.103555320996,70.68876913545087,15.734381966616429,134,False,No severe heat exposure (not ranked for heat priority),0.0,155,0.0,155
Bahati,u5,2025,0.0,0.0,0.0,0.1618510638297872,0.0,25.72698526035607,56.733776298889154,16.228162022940193,116,False,No severe heat exposure (not ranked for heat priority),0.0,155,0.0,155
Baringo Central,u5,2025,0.0,0.0,0.0,-0.3666486486486486,0.0,8.708577471373244,79.62538363417978,14.55638078653894,173,False,No severe heat exposure (not ranked for heat priority),0.0,155,0.0,155
Bobasi,u5,2025,0.0,0.0,0.0,0.0835384615384615,0.0,17.45174468217552,60.12583366189284,14.25439845393658,181,False,No severe heat exposure (not ranked for heat priority),0.0,155,0.0,155
Bomachoge Borabu,u5,2025,0.0,0.0,0.0,0.1014,0.0,9.620737703415312,59.35217321286769,11.789047292954749,246,False,No severe heat exposure (not ranked for heat priority),0.0,155,0.0,155
Bomachoge Chache,u5,2025,0.0,0.0,0.0,0.0581176470588234,0.0,8.351376526689162,61.22691903520776,11.689450813287912,248,False,No severe heat exposure (not ranked for heat priority),0.0,155,0.0,155
Bomet Central,u5,2025,0.0,0.0,0.0,0.0827727272727272,0.0,15.476132790406156,60.15900092333213,13.666689975621663,205,False,No severe heat exposure (not ranked for heat priority),0.0,155,0.0,155
Bomet East,u5,2025,0.0,0.0,0.0,-0.0778846153846153,0.0,17.76859180634014,67.11776498092505,15.398242289040798,145,False,No severe heat exposure (not ranked for heat priority),0.0,155,0.0,155
Borabu,u5,2025,0.0,0.0,0.0,0.1132884615384615,0.0,7.91157600208528,58.8372325479373,11.199057682816177,256,False,No severe heat exposure (not ranked for heat priority),0.0,155,0.0,155
Budalangi,u5,2025,0.0,0.0,0.0,-0.1315428571428571,0.0,8.641417807086025,69.4419354045407,13.008715652806911,221,False,No severe heat exposure (not ranked for heat priority),0.0,155,0.0,155
Buret,u5,2025,0.0,0.0,0.0,0.1912641509433962,0.0,19.54611324788653,55.4597683385709,14.182799225151594,182,False,No severe heat exposure (not ranked for heat priority),0.0,155,0.0,155
Buuri,u5,2025,0.0,0.0,0.0,-0.1642142857142857,0.0,10.405222468404691,70.85707621972261,13.7501281734798,200,False,No severe heat exposure (not ranked for heat priority),0.0,155,0.0,155
Cental Imenti,u5,2025,0.0,0.0,0.0,-0.102012048192771,0.0,12.482911017105874,68.16282840255451,13.969297565514935,194,False,No severe heat exposure (not ranked for heat priority),0.0,155,0.0,155
Chepalungu,u5,2025,0.0,0.0,0.0,-0.1191235955056179,0.0,24.537522112985844,68.90400349259946,17.696857157785672,94,False,No severe heat exposure (not ranked for heat priority),0.0,155,0.0,155
Cherangany,u5,2025,0.0,0.0,0.0,-0.0502075471698112,0.0,25.07664531020448,65.91895150419832,17.41083631869109,99,False,No severe heat exposure (not ranked for heat priority),0.0,155,0.0,155
Chesumei,u5,2025,0.0,0.0,0.0,-0.1290617283950617,0.0,16.76359785530166,69.33446699216168,15.429249405414753,143,False,No severe heat exposure (not ranked for heat priority),0.0,155,0.0,155
Dagoretti,u5,2025,0.0,0.0,0.0,1.471666666666667,0.0,38.20029464700104,0.0,11.460088394100312,253,False,No severe heat exposure (not ranked for heat priority),0.0,155,0.0,155
Eldama Ravine,u5,2025,0.0,0.0,0.0,-0.2740084033613445,0.0,13.37462884566033,75.6127341123534,15.354298770551107,146,False,No severe heat exposure (not ranked for heat priority),0.0,155,0.0,155
Embakasi Central,u5,2025,0.0,0.0,0.0,1.232,0.0,29.498560850723603,10.380999450241292,10.406718172753274,265,False,No severe heat exposure (not ranked for heat priority),0.0,155,0.0,155
Embakasi East,u5,2025,0.0,0.0,0.0,0.8188666666666665,0.0,78.245060821104,28.27559015765305,27.71485676997916,62,False,No severe heat exposure (not ranked for heat priority),0.0,155,0.0,155
